الاسم,الفئة,الكمية,البيع قطاعي,البيع جملة,التكلفة,الكود,حد الطلب
جريبوكس زانوسى فوق 12ك سيرفيس,وان > وان,0,0,0,,100124,0
جريبوكس زانوسي gm,وان > وان,0,1000,950,850,100033,0
جريبوكس سامسونج gm,وان > وان,0,1000,910,810,100034,0
جريبوكس ستار مربع قصير,وان > وان,0,160,150,135,100349,0
جريبوكس صاجه كامله اكس واطى 4مسمار gm,وان > وان,0,1000,950,850,100035,0
جريبوكس فريش هاف الشبح,وان > وان,0,170,150,130,100119,0
جريبوكس وايت بوينت 1/2 صاجه gm,وان > وان,0,950,900,800,100036,0
جلبة توشيبا هاف 10*12ك اصلى,وان > وان,0,400,370,250,2014385119,0
جلبة توشيبا هاف 7ك اصلى,وان > وان,20,150,140,120,034/025,0
جلبة هاف فريش مربع 3ك,وان > وان,5,0,0,,034/025,0
جلبه توشيبا 6ك هاف,وان > وان,0,0,0,,100504,0
جوان LG سيرفيس 2 THD.,العبودي,0,700,670,590,100046,0
جوان LG فايز 1 EPDM وان,وان > وان,0,580,550,525,100426,0
جوان LG فايز 3 وان,وان > وان,0,800,750,700,100427,0
جوان LG مانرو,مانرو,0,650,600,550,100125,0
جوان اكواتك EPDM وان,وان > وان,0,420,400,375,100428,0
جوان اكواتك حاتم,وان > وان,0,400,380,350,100314,0
جوان اكواتك سيرفيس,العبودي,0,430,400,380,1935436480,0
جوان العبد بكيرف وان,وان > وان,2,630,600,550,100429,0
جوان العبد بكيرف سيرفيس,وان > وان,0,500,440,400,,0
جوان العبد حاتم (اصلى),وان > وان,0,670,650,600,009ز079ز005,0
جوان ايليت (كومفورت),وان > وان,0,0,0,,100505,0
جوان ايليت زانوسي,وان > وان,0,530,510,475,100183,0
جوان زانوسى 18 حاتم,وان > وان,0,330,280,260,100318,0
جوان زانوسي  m2 ebdm وان,وان > وان,0,370,350,330,100430,0
جوان زانوسي m2 EPDM سيرفيس,العبودي,5,400,380,360,1935436480,2
جوان زانوسي ايجل,وان > وان,0,330,300,275,100216,0
جوان طومسن حاتم,وان > وان,-1,0,0,,100319,0
جوان فيكتوريا اصلى,الكترولوكس,0,600,550,520,100184,0
جوان فيكتوريا وان,وان > وان,0,550,520,500,100431,0
جوان فيليبس بدون شفه وايريول,وان > وان,0,0,0,,100506,0
جوان كريازى ايجل,وان > وان,0,350,320,295,100217,0
جوان كريازى تقيل,وان > وان,0,0,0,,100507,0
جوان كريازى ديناصور,العبودي,0,852,822,762,1935436480,0
جوان كريازي EBDM حاتم,وان > وان,0,0,0,,100508,0
جوان كمفورت اصلي شركه*,الكترولوكس,0,600,600,550,100185,0
جوان وايت بوينت تركي سيرفيس,وان > وان,0,0,0,,423899,0
جوان وايت ويل,وان > وان,0,0,0,,100509,0
جوان وايت ويل سرفيس,وان > وان,0,600,550,500,100126,0
جيربوكس LG مشمش,وان > وان,0,1100,1050,950,100399,0
جيربوكس العبد اكس مربع 6 مسمار يونيون تك,وان > وان,0,155,135,120,100122,0
جيربوكس الكمال نص صاجه,وان > وان,0,0,0,,100510,0
جيربوكس توشيبا هاف  بيكالو,وان > وان,0,220,200,190,100226,0
جيربوكس ديكس 6 مسمار مشرشر اكس رفيع,وان > وان,0,170,150,135,100030,0
جيربوكس زانوسي فوق 7*9ك اصلى,وان > وان,0,1000,950,875,100186,0
جيربوكس سامسون (اصفر),وان > وان,0,0,0,,100345,0
جيربوكس سامسونج 10/11ك مشمش,وان > وان,0,1050,1000,950,100400,0
جيربوكس سامسونج 8ك اكس مربع,وان > وان,0,850,800,695,100127,0
جيربوكس ستار اكس ع مشرشر (احمر),وان > وان,0,170,155,135,100053,0
جيربوكس ستار اكس مربع (اخضر) توشيبا هاف,وان > وان,0,170,155,135,100054,0
جيربوكس ستار اكس مربع (ازرق) فريش هاف,وان > وان,0,170,155,135,100055,0
جيربوكس ستار اكس مربع (اصفر),وان > وان,0,170,155,135,100056,0
جيربوكس صاجه كامله 4 مسمار اكس ع  MHM,وان > وان,0,1050,1000,950,100401,0
جيربوكس صاجه كامله 4مسمار اكس ق MHM,وان > وان,0,0,0,,100402,0
